central_bank,country,rate_pct,last_updated
American FED,United States,5.25,05-03-2023
Australian RBA,Australia,4.1,06-06-2023
Banco Central,Chile,11.25,10-13-2022
Bank of Korea,South Korea,3.5,01-13-2023
Brazilian BACEN,Brazil,13.75,08-04-2022
British BoE,Great Britain,5.0,06-22-2023
Canadian BOC,Canada,4.75,06-07-2023
Chinese PBC,China,3.55,06-20-2023
Czech CNB,Czech Republic,7.0,06-22-2022
Danish Nationalbanken,Denmark,3.25,06-15-2023
European ECB,Europe,4.0,06-15-2023
Hungarian,Hungary,13.0,09-27-2022
Indian RBI,India,6.5,02-08-2023
Indonesian BI,Indonesia,6.5,06-16-2016
Israeli BOI,Israel,4.75,05-22-2023
Mexican Banxico,Mexico,11.25,03-30-2023
New Zealand,New Zealand,5.5,05-24-2023
Norwegian,Norway,3.75,06-22-2023
Polish,Poland,6.75,09-07-2022
Russian CBR,Russia,7.5,09-16-2022
Saudi Ariabian,Saudi Arabia,5.5,03-22-2023
South African SARB,South Africa,8.25,05-25-2023
Swedish Riksbank,Sweden,3.75,06-30-2023
Swiss SNB,Switzerland,1.75,06-22-2023
Turkish CBRT,Turkey,15.0,06-22-2023
